Name,Email,Notes,Per day,Phone,Socials
Extra Group A (FBI SWAT Team),casting@extras.com,"15 people, tactical gear, Arizona house raid scene",$150.00,+1-505-xxx-xxxx,-
Featured Extra 1 (Dead Bodies),featured@casting.com,"Special makeup, opening scene house of horrors",$200.00,+1-505-xxx-xxxx,
Extra Group D (Cartel Members),casting@extras.com,"20+ people, various scenes in Mexico",$150.00,+1-505-xxx-xxxx,-
Extra Group F (Civilians - Juarez),casting@extras.com,"40+ people, street scenes, restaurant, Ciudad Juarez",$100.00,+1-505-xxx-xxxx,-
Featured Extra 2 (Hanging Victims),featured@casting.com,"Special rigging, bridge scene",$250.00,+1-505-xxx-xxxx,
Extra Group C (Juarez Police),casting@extras.com,"12 people, Mexican police uniforms, tunnel/bridge scenes",$125.00,+1-505-xxx-xxxx,-
Featured Extra 3 (Tunnel Workers),featured@casting.com,"4-5 people, confined space work",$175.00,+1-505-xxx-xxxx,
Extra Group E (Civilians - Border),casting@extras.com,"30+ people, cars in traffic, border crossing sequence",$100.00,+1-505-xxx-xxxx,-
Extra Group H (Office Workers),casting@extras.com,"8-10 people, FBI office scenes",$100.00,+1-505-xxx-xxxx,
Extra Group B (Border Patrol),casting@extras.com,"8-10 people, uniforms provided, border crossing scenes",$150.00,+1-505-xxx-xxxx,-
Extra Group G (Restaurant Diners),casting@extras.com,"15-20 people, upscale restaurant scene",$100.00,+1-505-xxx-xxxx,
