Acct number,Budget,Budget category,Date,Name,Notes,Parent item,Status,Sub-item
1030,"$2,500,000.00",Abone-the-line,,Director,Denis Villeneuve,,Completed,
5020,"$350,000.00",Other,,Legal & Accounting,"Contracts, clearances, auditing",,Not started,
4020,"$1,000,000.00",Post-production,,VFX,,,In Progress -  Over Budget,
1020,"$800,000.00",Abone-the-line,,Producer,"Basil Iwanyk, Edward McDonnell, Molly Smith",,In Progress - On Track,
1010,"$250,000.00",Abone-the-line,"October 2, 2025",Story & Rights,Screenplay by Taylor Sheridan,,Completed,
2010,"$50,000.00",Pre-production,,Script Development,"Rewrites, polish",,Completed,
1040,"$4,900,000.00",Abone-the-line,,Cast,"Blunt $3M, del Toro $2.5M, Brolin $2M, Supporting $1.45M",,Not started,
4010,"$850,000.00",Post-production,,Editorial,"Joe Walker, assistants, equipment",,In Progress - On Track,
2020,"$180,000.00",Pre-production,,Location Scouting,"Arizona, New Mexico, Mexico",,Completed,
3010,"$3,200,000.00",Production,,Crew Salaries,All below-the-line crew,,On Hold,
